apt_rent,apt_footage,rooms,distance_wh,distance_cap,building_units_available,adj_open,adj_large,adj_private,adj_great,adj_new,adj_beautiful,adj_high,adj_natural,adj_historic,adj_newly,adj_short,adj_ready,adj_furnished,adj_convenient,adj_windows
1739,544,1,3618,1682,134,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1917,703,2,3618,1682,134,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2800,1024,3,3618,1682,134,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1580,467,1,3482,1614,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1725,648,2,3482,1614,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2705,1085,3,3482,1614,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1195,395,1,8571,9554,6,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
1499,784,2,8571,9554,6,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
1740,510,1,289,2387,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2320,732,2,289,2387,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3310,1076,3,289,2387,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2410,710,2,1329,3048,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4005,1066,3,1329,3048,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1810,445,1,1323,3091,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2420,678,2,1323,3091,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3065,859,3,1323,3091,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
