building_address,latitude,longitude
"2138 California Street Northwest, Washington, DC",38.9160051,-77.04794609999999
"2112 Wyoming Avenue Northwest, Washington, DC",38.9174465,-77.0473839
"2700 N Street Northwest, Washington, DC",38.9067387,-77.0559363
"1015 D Street Northeast, Washington, DC",38.8945955,-76.99200499999999
"220 Bryant Street Northeast, Washington, DC",38.9215041,-77.00281509999999
"2511 Cliffbourne Place Northwest, Washington, DC",38.9229415,-77.0444267
"2101 N Street Northwest, Washington, DC",38.9073939,-77.046916
"2116 T Street Southeast, Washington, DC",38.867703,-76.97521429999999
"705 Quackenbos Street Northwest, Washington, DC",38.963983,-77.022853
"1314 Massachusetts Avenue Northwest, Washington, DC",38.9048334,-77.0306739
"2400 Good Hope Road Southeast, Washington, DC",38.8631225,-76.9724296
"1208 Holbrook Street Northeast, Washington, DC",38.9018979,-76.98453549999999
"1415 Hamilton Street Northwest, Washington, DC",38.9531168,-77.03465480000001
"88 V Street Northwest, Washington, DC",38.9179292,-77.01175719999999
"3986 Pennsylvania Avenue Southeast, Washington, DC",38.864401,-76.94769099999999
"624 Q Street Northwest, Washington, DC",38.9109414,-77.02103079999999
"3228 13th Street Northwest, Washington, DC",38.9305271,-77.02993169999999
"709 Brandywine Street Southeast, Washington, DC",38.82984709999999,-76.9956947
